"Date","HBName","BNFcompound","StandardisedQuantityPrescribedPerMonth","month"
2021-01-01,"Grampian","Azithromycin",4.04266572133486,1
2021-02-01,"Grampian","Azithromycin",4.59679978501325,2
2021-03-01,"Grampian","Azithromycin",4.83059787471876,3
2021-04-01,"Grampian","Azithromycin",4.40588469048484,4
2021-05-01,"Grampian","Azithromycin",4.50768892103525,5
2021-06-01,"Grampian","Azithromycin",4.79020209326194,6
2021-07-01,"Grampian","Azithromycin",4.31377201684444,7
2021-08-01,"Grampian","Azithromycin",4.49876925803842,8
2021-09-01,"Grampian","Azithromycin",4.43538819116668,9
2021-10-01,"Grampian","Azithromycin",4.42432437841099,10
2021-11-01,"Grampian","Azithromycin",4.44550857802847,11
2021-12-01,"Grampian","Azithromycin",4.97708618624371,12
2022-01-01,"Grampian","Azithromycin",4.02474062935084,1
2022-02-01,"Grampian","Azithromycin",4.10278768057315,2
2022-03-01,"Grampian","Azithromycin",4.84106132554197,3
2022-04-01,"Grampian","Azithromycin",4.46875116141445,4
2022-05-01,"Grampian","Azithromycin",4.4952528524339,5
2022-06-01,"Grampian","Azithromycin",4.32500736158084,6
2022-07-01,"Grampian","Azithromycin",4.024054501428,7
2022-08-01,"Grampian","Azithromycin",5.36354773877966,8
2022-09-01,"Grampian","Azithromycin",3.95252566547261,9
2022-10-01,"Grampian","Azithromycin",4.83197013056443,10
2022-11-01,"Grampian","Azithromycin",4.91396241734303,11
2022-12-01,"Grampian","Azithromycin",4.64114080202636,12
2023-01-01,"Grampian","Azithromycin",4.60486178810655,1
2023-02-01,"Grampian","Azithromycin",4.13537875690774,2
2023-03-01,"Grampian","Azithromycin",4.62175768820632,3
2023-04-01,"Grampian","Azithromycin",4.31857491230428,4
2023-05-01,"Grampian","Azithromycin",5.23103928368245,5
2023-06-01,"Grampian","Azithromycin",4.15227465700751,6
2023-07-01,"Grampian","Azithromycin",5.00890536866511,7
2023-08-01,"Grampian","Azithromycin",4.68385226522275,8
2023-09-01,"Grampian","Azithromycin",4.78711451760919,9
2023-10-01,"Grampian","Azithromycin",4.98317557155885,10
2023-11-01,"Grampian","Azithromycin",5.29287656272782,11
2023-12-01,"Grampian","Azithromycin",4.65366263661808,12
2024-01-01,"Grampian","Azithromycin",5.07974807669767,1
2024-02-01,"Grampian","Azithromycin",5.26783289354439,2
2024-03-01,"Grampian","Azithromycin",4.49585321436638,3
2024-04-01,"Grampian","Azithromycin",5.24802094977258,4
2024-05-01,"Grampian","Azithromycin",5.06937039186481,5
2024-06-01,"Grampian","Azithromycin",4.94440934391876,6
2024-07-01,"Grampian","Azithromycin",5.1766636457979,7
2024-08-01,"Grampian","Azithromycin",5.20994085005532,8
2024-09-01,"Grampian","Azithromycin",5.04998727804476,9
2024-10-01,"Grampian","Azithromycin",5.54159793475495,10
2024-11-01,"Grampian","Azithromycin",4.98240367764567,11
